air_temp,clearsky_dhi,clearsky_dni,clearsky_ghi,cloud_opacity,dhi,dni,ghi,precipitation_rate,relative_humidity,period_end,period
13,0,0,0,0,0,0,0,0,90.9,2020-01-01T01:00:00+00:00,PT60M
13,3,0,3,1.9,3,0,3,0,90.9,2020-01-01T02:00:00+00:00,PT60M
13,67,35,74,38.5,45,0,45,0,89.7,2020-01-01T03:00:00+00:00,PT60M
13,157,128,205,32.8,138,0,138,0,88,2020-01-01T04:00:00+00:00,PT60M
15,237,220,352,18.9,270,33,289,0,84.7,2020-01-01T05:00:00+00:00,PT60M
18,289,292,474,8,332,165,434,0.1,75.3,2020-01-01T06:00:00+00:00,PT60M
19,314,329,540,30.1,378,0,378,0.1,69.5,2020-01-01T07:00:00+00:00,PT60M
20,309,356,553,52.6,262,0,262,0.2,68,2020-01-01T08:00:00+00:00,PT60M
21,283,322,486,51.8,233,0,233,0.2,66.4,2020-01-01T09:00:00+00:00,PT60M
20,230,153,310,54.7,138,0,138,0.1,71,2020-01-01T10:00:00+00:00,PT60M
20,148,82,178,17.8,139,12,142,0,73.9,2020-01-01T11:00:00+00:00,PT60M
20,61,20,66,4.4,61,6,63,0,74.2,2020-01-01T12:00:00+00:00,PT60M
20,3,0,3,7.8,3,0,3,0,77,2020-01-01T13:00:00+00:00,PT60M
19,0,0,0,7,0,0,0,0,81.9,2020-01-01T14:00:00+00:00,PT60M
17,0,0,0,0,0,0,0,0,88.9,2020-01-01T15:00:00+00:00,PT60M
16,0,0,0,0,0,0,0,0,92.9,2020-01-01T16:00:00+00:00,PT60M
15,0,0,0,0,0,0,0,0,95.6,2020-01-01T17:00:00+00:00,PT60M
15,0,0,0,0,0,0,0,0,97.4,2020-01-01T18:00:00+00:00,PT60M
15,0,0,0,0,0,0,0,0,96.8,2020-01-01T19:00:00+00:00,PT60M
14,0,0,0,0,0,0,0,0,96.8,2020-01-01T20:00:00+00:00,PT60M
14,0,0,0,0,0,0,0,0,97.4,2020-01-01T21:00:00+00:00,PT60M
14,0,0,0,0,0,0,0,0,98.1,2020-01-01T22:00:00+00:00,PT60M
14,0,0,0,0,0,0,0,0,98.1,2020-01-01T23:00:00+00:00,PT60M
14,0,0,0,0,0,0,0,0,96.2,2020-01-02T00:00:00+00:00,PT60M
15,0,0,0,0,0,0,0,0,94.7,2020-01-02T01:00:00+00:00,PT60M
15,3,0,3,3.2,3,0,3,0,93.5,2020-01-02T02:00:00+00:00,PT60M
15,67,42,76,70.2,17,0,17,0,93.2,2020-01-02T03:00:00+00:00,PT60M
15,157,159,217,81.4,42,0,42,0.1,95,2020-01-02T04:00:00+00:00,PT60M
15,231,279,377,79.7,80,0,80,0.1,94.4,2020-01-02T05:00:00+00:00,PT60M
16,269,394,519,67.8,167,0,167,0.1,89.7,2020-01-02T06:00:00+00:00,PT60M
17,280,464,600,59,247,0,247,0.3,88,2020-01-02T07:00:00+00:00,PT60M
18,270,496,611,43.3,347,0,347,0.2,86.1,2020-01-02T08:00:00+00:00,PT60M
19,253,457,542,62.1,207,0,207,0.1,81.7,2020-01-02T09:00:00+00:00,PT60M
19,228,291,381,69.3,117,0,117,0,78.7,2020-01-02T10:00:00+00:00,PT60M
19,156,172,220,65.6,76,0,76,0,76.9,2020-01-02T11:00:00+00:00,PT60M
19,67,53,78,59.5,26,0,26,0,79.7,2020-01-02T12:00:00+00:00,PT60M
19,3,0,3,25.1,3,0,3,0,82.7,2020-01-02T13:00:00+00:00,PT60M
18,0,0,0,42.7,0,0,0,0,84.6,2020-01-02T14:00:00+00:00,PT60M
17,0,0,0,39.2,0,0,0,0,89.5,2020-01-02T15:00:00+00:00,PT60M
16,0,0,0,0.4,0,0,0,0,91.1,2020-01-02T16:00:00+00:00,PT60M
16,0,0,0,0,0,0,0,0,89.9,2020-01-02T17:00:00+00:00,PT60M
16,0,0,0,0,0,0,0,0,89.1,2020-01-02T18:00:00+00:00,PT60M
16,0,0,0,0,0,0,0,0,87.9,2020-01-02T19:00:00+00:00,PT60M
15,0,0,0,0,0,0,0,0,88.7,2020-01-02T20:00:00+00:00,PT60M
15,0,0,0,0,0,0,0,0,89.6,2020-01-02T21:00:00+00:00,PT60M
14,0,0,0,0,0,0,0,0,91,2020-01-02T22:00:00+00:00,PT60M
14,0,0,0,34.1,0,0,0,0,92.5,2020-01-02T23:00:00+00:00,PT60M
14,0,0,0,18.7,0,0,0,0,91.3,2020-01-03T00:00:00+00:00,PT60M
14,0,0,0,0,0,0,0,0,90.1,2020-01-03T01:00:00+00:00,PT60M
14,3,1,4,3.2,3,0,3,0,90.1,2020-01-03T02:00:00+00:00,PT60M
14,69,99,89,53.4,40,0,40,0,88.9,2020-01-03T03:00:00+00:00,PT60M
14,151,275,254,63.8,91,0,91,0,86.9,2020-01-03T04:00:00+00:00,PT60M
15,212,407,425,69.9,126,0,126,0,81.5,2020-01-03T05:00:00+00:00,PT60M
17,251,480,554,71.4,159,0,159,0,71.4,2020-01-03T06:00:00+00:00,PT60M
19,279,486,614,70.3,182,0,182,0,64.8,2020-01-03T07:00:00+00:00,PT60M
19,273,505,622,57.5,264,0,264,0,58.8,2020-01-03T08:00:00+00:00,PT60M
21,254,473,554,45.4,302,0,302,0,52.4,2020-01-03T09:00:00+00:00,PT60M
21,225,340,404,25.1,298,5,300,0,56.6,2020-01-03T10:00:00+00:00,PT60M
20,157,221,240,16.8,194,14,200,0,62.9,2020-01-03T11:00:00+00:00,PT60M
20,70,77,86,10.1,75,5,75,0,63.5,2020-01-03T12:00:00+00:00,PT60M
20,4,1,4,21.4,4,1,4,0,64.1,2020-01-03T13:00:00+00:00,PT60M
19,0,0,0,33.4,0,0,0,0,65.2,2020-01-03T14:00:00+00:00,PT60M
17,0,0,0,38.5,0,0,0,0,72.3,2020-01-03T15:00:00+00:00,PT60M
15,0,0,0,0.4,0,0,0,0,78.1,2020-01-03T16:00:00+00:00,PT60M
14,0,0,0,0,0,0,0,0,79.3,2020-01-03T17:00:00+00:00,PT60M
13,0,0,0,0,0,0,0,0,81.2,2020-01-03T18:00:00+00:00,PT60M
13,0,0,0,0,0,0,0,0,80.9,2020-01-03T19:00:00+00:00,PT60M
13,0,0,0,0.4,0,0,0,0,80.9,2020-01-03T20:00:00+00:00,PT60M
12,0,0,0,20.8,0,0,0,0,81.9,2020-01-03T21:00:00+00:00,PT60M
12,0,0,0,0.4,0,0,0,0,82.7,2020-01-03T22:00:00+00:00,PT60M
12,0,0,0,0,0,0,0,0,83,2020-01-03T23:00:00+00:00,PT60M
12,0,0,0,0,0,0,0,0,81.9,2020-01-04T00:00:00+00:00,PT60M
13,0,0,0,0,0,0,0,0,82.2,2020-01-04T01:00:00+00:00,PT60M
12,3,1,3,1.7,3,0,3,0,83.3,2020-01-04T02:00:00+00:00,PT60M
13,69,98,89,43.6,49,0,49,0,81.7,2020-01-04T03:00:00+00:00,PT60M
13,153,266,252,25.5,187,8,190,0,79.6,2020-01-04T04:00:00+00:00,PT60M
14,218,390,422,8.6,257,243,388,0,75.4,2020-01-04T05:00:00+00:00,PT60M
16,259,465,552,0,259,465,552,0,67.3,2020-01-04T06:00:00+00:00,PT60M
18,281,489,618,0,281,489,618,0,63.8,2020-01-04T07:00:00+00:00,PT60M
19,279,497,622,0,279,497,622,0,59.6,2020-01-04T08:00:00+00:00,PT60M
20,256,478,560,1.1,264,456,554,0,54,2020-01-04T09:00:00+00:00,PT60M
20,211,431,438,4,231,358,422,0,56.5,2020-01-04T10:00:00+00:00,PT60M
20,150,323,271,7.2,171,212,253,0,60.1,2020-01-04T11:00:00+00:00,PT60M
19,71,148,101,1.4,74,129,99,0,59.7,2020-01-04T12:00:00+00:00,PT60M
19,4,3,5,0,4,3,5,0,60,2020-01-04T13:00:00+00:00,PT60M
18,0,0,0,0,0,0,0,0,62.7,2020-01-04T14:00:00+00:00,PT60M
16,0,0,0,0,0,0,0,0,70,2020-01-04T15:00:00+00:00,PT60M
15,0,0,0,0,0,0,0,0,76.4,2020-01-04T16:00:00+00:00,PT60M
14,0,0,0,0,0,0,0,0,80,2020-01-04T17:00:00+00:00,PT60M
13,0,0,0,0,0,0,0,0,83.6,2020-01-04T18:00:00+00:00,PT60M
13,0,0,0,0,0,0,0,0,85,2020-01-04T19:00:00+00:00,PT60M
12,0,0,0,0,0,0,0,0,87,2020-01-04T20:00:00+00:00,PT60M
11,0,0,0,0,0,0,0,0,88.7,2020-01-04T21:00:00+00:00,PT60M
11,0,0,0,0,0,0,0,0,91.1,2020-01-04T22:00:00+00:00,PT60M
10,0,0,0,0,0,0,0,0,92.9,2020-01-04T23:00:00+00:00,PT60M
10,0,0,0,0,0,0,0,0,92,2020-01-05T00:00:00+00:00,PT60M
11,0,0,0,0,0,0,0,0,90.7,2020-01-05T01:00:00+00:00,PT60M
11,4,5,4,0.9,4,1,4,0,89.8,2020-01-05T02:00:00+00:00,PT60M
11,64,256,114,17.4,81,60,95,0,88.1,2020-01-05T03:00:00+00:00,PT60M
11,120,520,312,0.9,123,502,309,0,86.6,2020-01-05T04:00:00+00:00,PT60M
13,151,664,498,0,151,664,498,0,75.2,2020-01-05T05:00:00+00:00,PT60M
17,172,729,633,0,172,729,633,0,58.9,2020-01-05T06:00:00+00:00,PT60M
19,193,731,698,0,193,731,698,0,52.7,2020-01-05T07:00:00+00:00,PT60M
20,195,728,699,0,195,728,699,0,47.7,2020-01-05T08:00:00+00:00,PT60M
21,181,709,631,0,181,709,631,0,42.4,2020-01-05T09:00:00+00:00,PT60M
21,153,664,503,0.8,158,646,499,0,45.5,2020-01-05T10:00:00+00:00,PT60M
21,119,539,321,0.8,123,523,319,0,49.8,2020-01-05T11:00:00+00:00,PT60M
21,65,297,124,0,65,297,124,0,48.6,2020-01-05T12:00:00+00:00,PT60M
20,5,10,6,0,5,10,6,0,49.1,2020-01-05T13:00:00+00:00,PT60M
19,0,0,0,0,0,0,0,0,53.8,2020-01-05T14:00:00+00:00,PT60M
17,0,0,0,0,0,0,0,0,62.6,2020-01-05T15:00:00+00:00,PT60M
15,0,0,0,0,0,0,0,0,68.2,2020-01-05T16:00:00+00:00,PT60M
14,0,0,0,0,0,0,0,0,70.5,2020-01-05T17:00:00+00:00,PT60M
13,0,0,0,0,0,0,0,0,73.2,2020-01-05T18:00:00+00:00,PT60M
13,0,0,0,0,0,0,0,0,73.9,2020-01-05T19:00:00+00:00,PT60M
13,0,0,0,0,0,0,0,0,74.6,2020-01-05T20:00:00+00:00,PT60M
12,0,0,0,0,0,0,0,0,74.5,2020-01-05T21:00:00+00:00,PT60M
12,0,0,0,0,0,0,0,0,77.2,2020-01-05T22:00:00+00:00,PT60M
11,0,0,0,0,0,0,0,0,80.9,2020-01-05T23:00:00+00:00,PT60M
11,0,0,0,0,0,0,0,0,80.4,2020-01-06T00:00:00+00:00,PT60M
12,0,0,0,0,0,0,0,0,80.2,2020-01-06T01:00:00+00:00,PT60M
12,4,8,4,0.3,4,6,4,0,79.7,2020-01-06T02:00:00+00:00,PT60M
